spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
1,0.911023,10.000000,0.417328,-0.109474,-2.198534,17.226320,-9.860241,-775.044000,8.148983,5.993838,0,0,0
1,0.911023,10.000000,0.483906,1.268631,-3.026593,17.226320,-10.645040,-771.951500,6.731421,4.600161,0,0,0
1,0.911023,10.000000,0.534097,1.947007,-3.240786,16.315730,7.174337,-1374.026000,6.057780,3.944766,0,0,0
1,0.911023,10.000000,0.600447,3.252265,-2.706079,16.315730,6.389538,-1368.543000,4.756824,2.607812,0,0,0
1,0.911023,10.000000,0.667133,4.231208,-2.346251,16.315730,5.800938,-1364.445000,3.825073,1.675570,0,0,0
1,0.911023,10.000000,0.717432,4.883837,-2.125985,16.315730,5.408538,-1361.721000,3.236413,1.153095,0,0,0
1,0.911023,10.000000,0.766971,5.862781,-1.825017,16.315730,4.819939,-1357.643000,2.438912,0.914988,1,1,0
1,0.907046,10.000000,0.050427,-6.306835,0.773585,17.329120,-5.758468,-789.114500,14.796130,12.663870,0,0,0
1,0.907046,10.000000,0.116766,-5.267088,0.404533,17.329120,-6.347068,-786.751800,13.696950,11.562740,0,0,0
1,0.907046,10.000000,0.183343,-3.880758,-0.142472,17.329120,-7.131867,-783.612500,12.219570,10.081010,0,0,0
1,0.907046,10.000000,0.233534,-3.187593,-0.439518,17.329120,-7.524267,-782.047600,11.476860,9.335340,0,0,0
1,0.907046,10.000000,0.299884,-1.801264,-1.080700,17.329120,-8.309068,-778.927100,9.987416,7.838753,0,0,0
1,0.907046,10.000000,0.366571,-0.761517,-1.602787,17.329120,-8.897669,-776.594900,8.872225,6.718321,0,0,0
1,0.907046,10.000000,0.416869,-0.068352,-1.970466,17.329120,-9.290070,-775.044000,8.133772,5.977946,0,0,0
1,0.907046,10.000000,0.483492,1.317977,-2.752912,17.329120,-10.074870,-771.951500,6.686589,4.541897,0,0,0
1,0.907046,10.000000,0.549759,2.353913,-3.294878,16.449390,6.931256,-1352.804000,5.653782,3.549581,0,0,0
1,0.907046,10.000000,0.599896,3.340876,-2.902547,16.449390,6.342657,-1348.754000,4.660143,2.524220,0,0,0
1,0.907046,10.000000,0.666656,4.327839,-2.545532,16.449390,5.754057,-1344.715000,3.700177,1.544311,0,0,0
1,0.907046,10.000000,0.732852,5.314802,-2.223832,16.449390,5.165457,-1340.689000,2.795125,0.750676,0,0,0
1,0.907046,10.000000,0.766583,5.972777,-2.028986,16.449390,4.773057,-1338.012000,2.247777,0.719925,1,1,0
1,0.985397,10.000000,0.050237,-6.220481,0.870783,19.488000,-3.328514,-789.114500,14.737880,12.395400,0,0,1
1,0.985397,10.000000,0.116875,-4.661443,0.565262,19.488000,-4.113314,-785.965800,13.153830,10.816190,0,0,1
