spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
1,1.071060,10.000000,0.166655,-3.988373,-0.777450,18.822680,-11.795770,-784.396100,12.192650,10.546450,0,0,0
1,1.071060,10.000000,0.216764,-2.859013,-1.508739,18.822680,-12.384370,-782.047600,10.960930,9.314616,0,0,0
1,1.071060,10.000000,0.283272,-1.729652,-2.275345,18.822680,-12.972970,-779.706100,9.756601,8.116830,0,0,0
1,1.071060,10.000000,0.333591,-0.976745,-2.806036,18.822680,-13.365370,-778.148900,8.978841,7.350909,0,0,0
1,1.071060,10.000000,0.400358,0.482210,-2.967489,17.687670,8.550150,-1525.927000,7.517860,5.896047,0,0,0
1,1.071060,10.000000,0.450391,1.189717,-2.637256,17.687670,8.157749,-1522.879000,6.819937,5.185169,0,0,0
1,1.071060,10.000000,0.500479,2.250976,-2.171335,17.687670,7.569149,-1518.319000,5.808439,4.161924,0,0,0
1,1.071060,10.000000,0.566603,3.312235,-1.740730,17.687670,6.980550,-1513.773000,4.853957,3.220579,0,0,0
1,1.071060,10.000000,0.616834,4.373495,-1.345441,17.687670,6.391950,-1509.241000,3.986114,2.438500,0,0,0
1,1.071060,10.000000,0.683393,5.434754,-0.985468,17.687670,5.803350,-1504.722000,3.261721,1.980179,0,0,0
1,1.071060,10.000000,0.733477,6.142260,-0.765106,17.687670,5.410951,-1501.717000,2.906191,1.986080,0,0,0
1,1.071060,10.000000,0.750205,6.496013,-0.660811,17.687670,5.214751,-1500.217000,2.780967,2.084118,0,1,0
0,0.902661,10.000000,0.050737,-6.292883,0.841754,17.677940,-4.054244,789.114500,14.800190,13.163420,0,0,1
0,0.902661,10.000000,0.116469,-5.232207,0.574956,17.677940,-4.642843,786.751800,13.706630,12.070210,0,0,1
0,0.902661,10.000000,0.183424,-3.817973,0.164289,17.677940,-5.427643,783.612500,12.234260,10.597570,0,0,1
0,0.902661,10.000000,0.249548,-2.757298,-0.184914,17.677940,-6.016243,781.266300,11.119540,9.481911,0,0,1
0,0.902661,10.000000,0.299779,-1.696622,-0.569432,17.677940,-6.604842,778.927100,9.996606,8.357282,0,0,1
0,0.902661,10.000000,0.366338,-0.635946,-0.989267,17.677940,-7.193442,776.594900,8.866940,7.204654,0,0,1
0,0.902661,10.000000,0.416422,0.071171,-1.288776,17.677940,-7.585842,775.044000,8.111388,6.447043,0,0,1
0,0.902661,10.000000,0.466874,1.131847,-1.767470,17.677940,-8.174441,772.723400,6.977869,5.310717,0,0,1
0,0.902661,10.000000,0.532843,2.192523,-2.281481,17.677940,-8.763042,770.409900,5.851758,4.185426,0,0,1
0,0.902661,10.000000,0.583383,3.253198,-2.830807,17.677940,-9.351644,768.103100,4.749816,3.100888,0,0,1
0,0.902661,10.000000,0.649968,4.307216,-3.272452,16.857870,6.461159,222.191100,3.702821,2.113703,0,0,1
0,0.902661,10.000000,0.700937,5.318688,-2.908326,16.857870,5.872559,221.525800,2.682879,1.047679,0,0,1
0,0.902661,10.000000,0.766801,6.330160,-2.579517,16.857870,5.283959,220.862500,1.721968,0.162066,1,0,1
