spinType,speed,spinAmount,timeSinceRelease,ballPosX,ballPosY,ballVelX,ballVelY,ballAngularVel,distanceToStumps,distanceToPad,hitPad, reachedPad, willHitStumps
1,0.917058,10.000000,0.483546,1.572720,-2.180830,17.859840,-8.883032,-771.951500,6.479273,4.103545,0,0,1
1,0.917058,10.000000,0.549810,2.644310,-2.737355,17.859840,-9.471633,-769.640100,5.362127,2.993680,0,0,1
1,0.917058,10.000000,0.616393,4.056173,-3.195863,17.013680,6.666682,-1320.297000,3.948688,1.646193,0,0,1
1,0.917058,10.000000,0.666596,4.736720,-2.940968,17.013680,6.274282,-1317.660000,3.263814,0.923403,0,0,1
1,0.917058,10.000000,0.716755,5.757540,-2.588055,17.013680,5.685683,-1313.714000,2.279984,0.193339,1,1,1
0,0.813768,10.000000,0.066412,-6.068921,0.676265,15.490260,-5.582505,788.326100,14.541300,12.195190,0,0,0
0,0.813768,10.000000,0.116652,-5.139505,0.317771,15.490260,-6.171105,785.965800,13.551910,11.202870,0,0,0
0,0.813768,10.000000,0.183417,-4.210089,-0.076040,15.490260,-6.759705,783.612500,12.555310,10.202020,0,0,0
0,0.813768,10.000000,0.249681,-3.280673,-0.505166,15.490260,-7.348304,781.266300,11.553260,9.194401,0,0,0
0,0.813768,10.000000,0.316264,-2.041453,-1.132270,15.490260,-8.133104,778.148900,10.213680,7.845929,0,0,0
0,0.813768,10.000000,0.366468,-1.421842,-1.469366,15.490260,-8.525505,776.594900,9.545363,7.173265,0,0,0
0,0.813768,10.000000,0.416627,-0.492427,-2.004440,15.490260,-9.114106,774.269700,8.550582,6.174386,0,0,0
0,0.813768,10.000000,0.484119,0.436989,-2.574830,15.490260,-9.702707,771.951500,7.574953,5.203621,0,0,0
0,0.813768,10.000000,0.550028,1.366404,-3.180537,15.490260,-10.291310,769.640100,6.636052,4.294240,0,0,0
0,0.813768,10.000000,0.616295,2.549130,-2.903339,14.625050,6.228281,194.745400,5.451727,3.093174,0,0,0
0,0.813768,10.000000,0.666615,3.134131,-2.665980,14.625050,5.835882,194.356500,4.877320,2.504951,0,0,0
0,0.813768,10.000000,0.733053,4.304135,-2.238349,14.625050,5.051082,193.581000,3.773530,1.425068,0,0,0
0,0.813768,10.000000,0.783212,4.889137,-2.048078,14.625050,4.658682,193.194400,3.253248,1.019575,0,0,0
0,0.813768,10.000000,0.833008,5.766640,-1.792102,14.625050,4.070083,192.615900,2.539078,0.956589,0,1,0
1,1.003786,10.000000,0.066626,-5.859116,0.590056,19.014750,-7.028610,-788.326100,14.316550,12.176060,0,0,0
1,1.003786,10.000000,0.117022,-4.718231,0.144795,19.014750,-7.617210,-785.965800,13.101260,10.957510,0,0,0
1,1.003786,10.000000,0.183809,-3.577347,-0.335781,19.014750,-8.205811,-783.612500,11.879940,9.731726,0,0,0
1,1.003786,10.000000,0.250364,-2.436462,-0.851674,19.014750,-8.794412,-781.266300,10.655280,8.501552,0,0,0
1,1.003786,10.000000,0.316587,-0.915283,-1.594467,19.014750,-9.579213,-778.148900,9.025397,6.864266,0,0,0
1,1.003786,10.000000,0.366592,-0.154693,-1.989407,19.014750,-9.971614,-776.594900,8.217074,6.054126,0,0,0
1,1.003786,10.000000,0.416750,0.986192,-2.611248,19.014750,-10.560210,-774.269700,7.024574,4.868234,0,0,0
1,1.003786,10.000000,0.467057,1.746781,-3.045428,19.014750,-10.952620,-772.723400,6.253384,4.117286,0,0,0
1,1.003786,10.000000,0.533641,3.217277,-2.937347,18.078790,6.981860,-1388.837000,4.783134,2.642825,0,0,0
1,1.003786,10.000000,0.583739,3.940428,-2.669845,18.078790,6.589460,-1386.064000,4.072976,1.913581,0,0,0
1,1.003786,10.000000,0.650574,5.025155,-2.298022,18.078790,6.000861,-1381.914000,3.056546,0.938197,0,0,0
1,1.003786,10.000000,0.700035,6.109882,-1.961514,18.078790,5.412261,-1377.776000,2.156618,0.819860,1,1,0
0,0.861760,10.000000,0.050004,-6.337813,0.796417,16.554670,-5.187671,789.114500,14.831910,12.693120,0,0,0
0,0.861760,10.000000,0.100163,-5.344533,0.461613,16.554670,-5.776271,786.751800,13.786200,11.645980,0,0,0
0,0.861760,10.000000,0.150469,-4.682347,0.218790,16.554670,-6.168671,785.180600,13.084440,10.942680,0,0,0
0,0.861760,10.000000,0.217053,-3.357974,-0.313943,16.554670,-6.953470,782.047600,11.671270,9.524846,0,0,0
