impactPosX,impactPosY,impactVelX,impactVelY,impactAngularVel,spinDirection,spinMagnitude,distanceToStumps,willHitStumps
5.434133,-3.003942,17.523450,6.100870,-1309.497000,1,10.000000,2.565871,1
5.586984,-3.039084,17.226350,5.981745,-1298.731000,1,10.000000,2.413333,1
5.524295,-3.230229,20.873830,-9.895287,-767.335700,1,10.000000,2.486387,1
5.615389,-2.248391,16.854730,5.374145,183.185900,0,10.000000,2.500257,0
5.474046,-3.063673,17.065010,5.946617,-1295.781000,1,10.000000,2.526756,1
5.533576,-2.957945,16.673660,5.737527,232.090000,0,10.000000,2.466783,1
5.739162,-2.204205,17.525600,5.537281,-1356.688000,1,10.000000,2.396806,0
5.801596,-3.038541,18.626440,6.125413,-1312.322000,1,10.000000,2.198742,1
5.541323,-2.469102,16.739270,5.319392,203.573100,0,10.000000,2.515342,1
5.780132,-2.986473,20.613120,-9.372799,-766.569100,1,10.000000,2.219909,1
5.771724,-2.957063,16.989980,6.041299,-1292.649000,1,10.000000,2.228689,1
5.719715,-2.073174,16.551990,5.038547,178.850000,0,10.000000,2.461444,0
5.515681,-2.632752,20.101580,6.241975,-1372.014000,1,10.000000,2.511317,1
5.529169,-2.767039,15.776240,5.590969,226.936900,0,10.000000,2.481789,1
5.562082,-3.213547,18.232640,6.478283,-1310.091000,1,10.000000,2.447253,1
5.642164,-2.982982,15.471440,5.851010,236.221000,0,10.000000,2.357898,1
5.583790,-2.574927,16.785220,5.433194,209.905000,0,10.000000,2.453316,1
5.531047,-2.479939,16.725000,5.304340,204.830700,0,10.000000,2.523131,1
5.764750,-2.072081,14.225920,4.108993,220.113100,0,10.000000,2.420202,0
5.732079,-2.335504,15.266390,4.946934,215.799600,0,10.000000,2.363265,0
5.516317,-2.215044,16.265320,5.083066,190.914200,0,10.000000,2.604772,0
5.529370,-3.219205,18.983900,-9.531938,-765.038200,1,10.000000,2.480335,1
5.525054,-2.666114,16.225500,5.505946,218.924700,0,10.000000,2.497366,1
5.648746,-2.271857,16.432030,5.251275,192.679300,0,10.000000,2.461420,0
5.446869,-2.801646,18.858900,-8.899272,-765.038200,1,10.000000,2.560824,1
5.447164,-3.039563,16.076930,5.867480,236.359800,0,10.000000,2.553143,1
5.576963,-3.102209,14.562050,5.940010,243.188300,0,10.000000,2.425192,1
5.584268,-3.162261,14.961490,5.894735,247.752800,0,10.000000,2.421176,1
5.746654,-2.223149,16.576580,5.072114,-1332.144000,1,10.000000,2.383499,0
5.663024,-2.044199,14.450470,4.437340,209.336500,0,10.000000,2.524878,0
5.598497,-2.973792,19.531370,6.407631,-1337.550000,1,10.000000,2.401646,1
5.611600,-2.483628,18.982460,5.963765,-1363.019000,1,10.000000,2.443582,1
5.483892,-2.490449,21.523960,-8.764818,-768.103100,1,10.000000,2.567185,1
5.462434,-2.305070,18.762040,5.989848,-1380.994000,1,10.000000,2.631001,0
5.660380,-3.020975,17.856170,6.075821,-1307.393000,1,10.000000,2.339714,1
6.240615,-3.192150,17.892730,-9.196671,761.985500,0,10.000000,1.769846,1
5.977182,-2.472013,19.553680,5.981914,-1364.537000,1,10.000000,2.090589,1
6.206595,-2.283127,18.193360,5.424535,-1347.278000,1,10.000000,1.931375,0
6.215334,-3.014931,18.354640,-9.009795,762.747500,0,10.000000,1.784728,1
6.100041,-2.438795,14.945370,4.710108,234.049300,0,10.000000,1.981109,1
6.216228,-2.682266,19.914040,5.916423,-1343.228000,1,10.000000,1.811849,1
6.104516,-2.824595,17.994810,5.705443,-1307.391000,1,10.000000,1.903583,1
6.290531,-2.316848,19.448180,5.600239,-1363.471000,1,10.000000,1.840919,1
6.237791,-2.831115,18.734350,5.774218,-1313.917000,1,10.000000,1.770283,1
6.105143,-2.774641,17.481890,5.704356,218.958400,0,10.000000,1.908211,1
6.353170,-3.034167,20.085520,6.216370,-1320.724000,1,10.000000,1.647184,1
6.079931,-2.406738,17.999930,5.497681,-1337.581000,1,10.000000,2.009633,1
6.086813,-2.541876,19.828510,-8.505681,-765.038200,1,10.000000,1.967273,1
6.002961,-2.672385,20.226030,6.047899,-1355.000000,1,10.000000,2.023734,1
5.857777,-2.812848,18.368260,-8.782329,763.510300,0,10.000000,2.150383,1
6.083158,-2.956237,17.949960,5.804116,-1299.754000,1,10.000000,1.917342,1
6.051909,-2.994516,16.894160,5.928354,231.248400,0,10.000000,1.948099,1
5.907425,-2.835876,18.439190,-8.815226,763.510300,0,10.000000,2.099001,1
6.100543,-2.526081,19.734910,6.143336,-1367.143000,1,10.000000,1.957687,1
5.851589,-2.833382,18.899400,-8.874629,-764.273900,1,10.000000,2.154862,1
6.023771,-2.532371,14.461880,4.817300,240.204000,0,10.000000,2.030802,1
5.906474,-3.006076,18.437830,-9.058370,-763.510300,1,10.000000,2.093535,1
5.974679,-2.198732,16.007220,4.698421,205.660000,0,10.000000,2.178062,0
5.815588,-3.047081,19.881520,6.289425,-1327.624000,1,10.000000,2.184919,1
5.899476,-2.419888,14.680430,4.992390,232.098600,0,10.000000,2.179159,1
6.041543,-2.470566,16.938660,5.479650,197.311400,0,10.000000,2.028757,1
6.095652,-1.980731,17.545600,5.269293,-1365.104000,1,10.000000,2.159966,0
5.645593,-1.874302,17.950120,5.448389,-1397.259000,1,10.000000,2.609679,0
5.288165,-3.069665,20.480280,-9.627680,-767.335700,1,10.000000,2.712730,1
5.474014,-2.852063,18.344140,-8.902102,764.273900,0,10.000000,2.530314,1
5.498206,-2.870105,16.624540,5.859528,221.856200,0,10.000000,2.505164,1
5.354369,-3.234964,18.494050,6.519733,-1314.344000,1,10.000000,2.656044,1
5.319702,-2.242649,16.926370,5.482362,-1352.104000,1,10.000000,2.785243,0
5.432735,-3.299906,16.357340,-9.287286,761.224200,0,10.000000,2.584723,1
